id;brand;family;frequency;spec;core;name;condition;addinfo
1;Intel;Socket 3;100;SK096;;486DX4;;
2;Intel;Socket 3;66;SX762;;486DX2;;
3;Intel;Socket 3;25;SX798;;486SX;;
4;Intel;PGA132;25;SX218;;386DX;;
5;Intel;Socket 1;66;SZ935;;Overdrive DX200PR66;;
6;AMD;Socket 3;40;NG80386DX-40;;Am386DX-40;;
7;AMD;Socket 3;75;AMD-X5-133ADZ;;Am5x86-P75;;
8;AMD;Socket 3;75;AMD-X5-133ADW;;Am5x86-P75;;
9;AMD;Socket 3;100;A80486DX4-100SV8B;;Am486Dx4-100;;
10;AMD;Socket 3;80;A80486DX2-80N;;Am486Dx2-80;;
11;AMD;Socket 3;66;A80486DX2-66;;Am486Dx2-66;;
12;AMD;Socket 3;66;A80486DX2-66NV8T;;Am486Dx2-66;;
13;AMD;Socket 939;3000;ADA3000DAA4BW;Venice;Athlon64;;
14;AMD;Socket 939;3200;ADA3200DAA4BW;Venice;Athlon64;;
15;AMD;Socket 939;3500;ADA3500DAA4BW;Venice;Athlon64;;
16;AMD;Socket 754;2600;SDA2600AI02BX;Palermo;Sempron;;
17;Texas Instruments;PGA132;33;TX486DLC-33GA;;486;;
18;Texas Instruments;Socket 3;80;TI486DX2-G80-GA;;486DX2-80;;
19;Cyrix;Socket 3;66;CX486DX2-66GP;;CX486;;
20;UMC;Socket 3;;U5S-SUPER33;;Green CPU;;
21;Intel;Socket 7;150;SY015;P54CS;Pentium I;;
22;Intel;Socket 7;166;SY016;P54CS;Pentium I;;
23;Intel;Socket 7;100;SY007;P54CS;Pentium I;;
24;Intel;Socket 7;120;SY062;P54CS;Pentium I;;
25;Intel;Socket 7;133;SU022;P54CS;Pentium I;;
26;Intel;Socket 7;75;SY005;P54C;Pentium I;g;
27;Intel;Socket 7;166;SL27K;P55C;Pentium I MMX;;CPGA
28;Intel;Socket 7;166;SL239;P55C;Pentium I MMX;;CPGA
29;Intel;Socket 7;200;SL2RY;P55C;Pentium I MMX;;CPGA
30;Intel;Socket 7;200;SL27J;P55C;Pentium I MMX;;PPGA
31;Intel;Socket 7;166;SL27H;P55C;Pentium I MMX;;PPGA
32;Intel;Socket 7;200;SY045;P54CS;Pentium I;;PPGA
33;Intel;Socket 7;166;SY037;P54CS;Pentium I;;PPGA
34;AMD;Socket 7;90;AMD-K5-PR90ABQ;;AMD-K5;;
