id;brand;name;revision;family;chipset;condition;addinfo
1;Zida;T530B;;Socket 7;SiS 530;f;
2;Lucky Star;5V-1A;rev.2.0;Socket 7;VIA Apollo VPX;;
3;Lucky Star;5I-TX2A;rev.1.0;Socket 7;Intel i430TX;f;
4;Zida;5DVX-256k;rev.1.23;Socket 7;Intel i430VX;g;
5;A-Trend;ATC-1000+;;Socket 7;Intel i430VX;g;
6;Lucky Star;LS-P54CE;rev.D;Socket 7;Intel i430VX;g;
7;PC Chips;M571;rev.5.0;Socket 7;SiS 5598;g;
8;Acorp;5TX52;rev.1.4;Socket 7;Intel i430TX;g;
9;Zida;4DVS;rev.2.0;Socket 3;SiS 471/407;;
10;Zida;4DPS;rev.2.11;Socket 3;SiS 496/497;g;
11;Aopen;AP43;;Socket 3;SiS 496/497;;
12;PC Chips;M216A;rev.1.2;PLCC68;Headland HT21;g;
13;???;???;;PLCC68;???;g;???
14;Zida;PCI400-2;;Socket 3;SiS 496/497;;
15;MSI;MS8163;rev.2;Slot 1;Intel i440BX;;
16;Asus;P3B-P;rev.1.04;Slot 1;Intel i440BX;;
17;Asus;P2B-F;rev.1.00;Slot 1;Intel i440BX;f;
18;Lucky Star;SM-P6LX2;;Slot 1;Intel i440LX;;
19;Supermicro;P6SLA;rev.2;Slot 1;Intel i440LX;;
20;Asus;P2L97;rev.2.05;Slot 1;Intel i440LX;f;
21;Intel;AA654850-206;;Socket 7;Intel i430HX;;
22;Expert Board;Exp8661;rev.1.1;Socket 7;Intel i430VX;;
23;Asus;P/I-P55T2P4;rev.3.10;Socket 7;Intel i440HX;;
24;Acorp;6VIA85P;rev.1.9;Socket 370;VIA Apollo Pro 133/596B;g;
25;Abit;SA6;;Socket 370;Intel i815E;g;
26;Chaintech;CT-6VIA5T;;Socket 370;VIA Apollo 133T/686B;g;
27;Gigabyte;GA-6VXE7+;rev.3.0;Socket 370;VIA 693A/596B;g;
28;Gigabyte;GA-6VTXE;rev.1.0;Socket 370;VIA 694T/686B;g;
29;Asus;CUSL2;rev.1.02;Socket 370;Intel i815E;g;
30;Chaintech;CT-6OJA3T;;Socket 370;Intel i815EP;;
31;Epox;EP-3PTA;;Socket 370;Intel i815EP;;
32;PC Chips;M755;rev.7.1;Socket 370;SiS 630;g;???
33;Aska;SST-5888;;Socket 370;VIA Apollo 133 693A/596B;g;
34;Zida;BX3D-CT;;Socket 370;VIA Apollo Pro;f;
35;Asus;A8N5X;rev.1.00G;Socket 939;Nvidia nForce4;;
36;Asus;P56C-MX/1333;;Socket 775;Intel 945GC;g;
37;Gigabyte;GA-K8N51PVM9-RH;rev.1.0;Socket 939;NVIDIA GeForce 6150B;;
38;Asus;P5P800;;Socket 775;Intel i865G;;
39;Gigabyte;GA-8PEMT4;rev.1.0;Socket 478;Intel i845PE;;
40;Asus;P4SP-MX;rev.1.00;Socket 478;SiS 651;;
41;ECS;661FX-M;rev.1.0B;Socket 478;SiS 661FX;g;
42;Shattle;AK35GT/GTR;rev.2.2;Socket A;VIA KT333;;
43;Acorp;7KT266A;rev.1.1;Socket A;VIA KT266A;;
44;Epox;EP-8KRAI-X;;Socket A;VIA KT600;;
45;MSI;MS-7142;rev.1;Socket 754;VIA K8M800;;
46;Gigabyte;GA-7N400E;rev.1.0;Socket A;Nvidia Nforce2 MCP;;
47;Asus;P4TE;;Socket 478;Intel 850;;
48;Asus;K8V-MX;rev.3.0;Socket 754;VIA K8M800;;
49;Albatron;PX865PE Pro;;Socket 478;Intel i865PE;;
50;Gigabyte;GA-8PE800;;Socket 478;Intel i865P;;
51;ECS;K7S5A;rev.3.10;Socket A;SiS 735;;
52;Gigabyte;GA-8IR533;;Socket 478;Intel i845D;;
53;Epox;EP-P4X533I;;Socket 478;VIA P4X533;;
54;Chaintech;CT-7AIA5E;;Socket A;VIA KT133;;
55;Foxconn;915M12-GL-6LS;;Socket 775;Intel 915GL;;
56;Chaintech;CT-7AJA2/100;;Socket A;VIA KT133A;;
57;Gigabyte;GA-7N400;;Socket A;Nvidia Nforce2 Ultra;;
58;Foxconn;NF34K8MA;;Socket 939;NVIDIA GeForce 6100;;
59;Asus;A7V600-X;rev.1.00;Socket A;VIA KT600;;
60;Abit;BW7;;Socket 423;Intel i845;;
61;Formoza;FCT600 Vinca;;Socket A;VIA KT600;;
62;ECS;286-Neat;rev.3.21;PLCC68;Chips P82C;???;
63;XT;10Mhz Turbo board;;DIP40;NEC D8259AC-2;???;
64;Intel;AA720932-208;ver.A03;Slot 1;Intel i440BX;;
65;Aquarius;MB-4D33/50NR;rev.01;Socket 2;UMC UM82C491F;;
66;???;386;;Onboard CPU;Forex FX46C421A;???;
67;Formoza;F815EP;rev.1.3;Socket 370;Intel i815EP;;
68;Zida;TD60C;;Onboard CPU;CityGate D90-272;;
69;Abit;IS7;;Socket 478;Intel i865PE;;
70;Asus;P5P41C;rev.1.01G;Socket 775;Intel G41;g;BOX
71;Asus;M2V;rev.1.01G;Socket AM2;VIA K8T890;g;BOX
72;Lucky Star;5MVP3;rev.4.0;Socket 7;VIA Apollo MVP3/598;g;
